income,age,hh_size,employed,assets,loan_amount,credit_score,subsidy,urban,region,default
38287.38793398878,49,3,1,74236.8690722886,24039.790705600743,573.1625756772937,1,0,east,0
39160.62077604882,46,4,1,73994.39843992225,31725.607985331066,402.0880905776775,0,0,west,1
69312.89511591343,49,5,1,125417.70618757537,21821.06420600299,669.3697625371481,0,0,west,0
42764.90208280629,31,3,1,57848.19483168511,45202.51234027107,312.57107397358504,0,1,east,0
71216.04434242334,22,4,1,68771.32999999332,24658.729825766783,592.5624179026598,0,1,south,0
104762.86676995906,48,2,1,234536.67155603072,17051.171980567313,721.0389917710241,1,1,east,0
62500.793158655666,27,5,1,57787.99627523218,28439.459091720782,509.61844755969827,0,0,south,0
55338.15878031173,43,4,1,62948.97362406151,36138.66329893189,324.6091538812132,1,0,north,1
48136.02999998488,28,1,1,85491.75712256345,7594.160673714885,646.5663471724537,0,0,south,0
48865.40500858794,66,1,1,47912.28566487507,44816.225502559,300.0,0,0,west,0
38308.641759884675,35,1,1,45102.36110124042,29856.65338823329,382.4283529571274,0,1,east,0
72469.75923310666,56,3,1,77154.34370250971,18314.443634922725,736.2328800920632,0,1,west,0
66706.02001565405,48,2,0,43941.362010855264,24275.627361542716,506.19868429464975,0,1,west,0
73899.66311030557,54,5,1,44129.77987798465,36891.38279492357,435.4262765926748,0,1,south,1
34806.828423394385,23,3,1,48056.247917958106,24719.647296975112,477.17090943713055,0,1,west,0
79420.93915988007,30,1,1,64654.24022403699,20237.787580668773,731.5905394288476,0,0,west,0
31762.22247857545,49,1,1,67440.36796663866,26059.440832553722,392.80678782123823,1,1,north,1
32569.86970033173,53,2,1,59823.29099423387,6319.3875302197075,666.3577758273392,0,1,east,1
89975.7200052966,28,4,1,163965.96981704235,7209.370878024934,850.0,0,1,south,0
37389.2856199142,50,2,1,67690.54852987402,38644.6905017694,323.16998556430923,0,1,east,0
58424.5934150142,59,5,1,57051.604452333355,41350.59888305702,337.5827069771743,1,1,south,1
49163.6189072149,24,1,1,101729.83393839726,24556.37832644096,435.63835988072424,0,1,east,0
94771.9029195685,24,2,1,182434.47753772826,35762.69637007783,550.3001160608767,1,0,west,1
60072.90309947556,45,4,0,99200.28540220091,33337.74353211712,560.4718948058364,0,0,east,0
35252.93574624292,46,5,1,62189.73883637418,6178.847236287969,696.0150633701256,1,1,west,1
58727.847037280364,33,3,0,112776.45317964902,48132.938435975004,394.138522092304,0,0,east,1
48064.975863334184,43,3,1,75889.88375154539,8619.47477123281,707.397749581778,0,1,south,0
77840.69601348435,28,2,1,127992.95329029419,34742.83077633215,488.12701419879534,0,0,east,0
53673.980536040566,60,4,1,122268.22611853249,37819.507561076105,478.61263969404934,0,0,north,0
52924.91332437302,68,5,1,122174.621385174,32338.808186928745,465.99365727550384,0,1,west,0
42476.56027215945,27,3,1,75152.76462072555,17322.89952438841,588.4885049288882,0,1,north,1
51093.759825609945,63,4,1,99109.55777229046,27976.657811905447,481.2804843217981,0,1,south,0
71603.56765223974,60,2,1,118948.74250569796,33302.0450179848,469.0464688578953,0,0,south,0
76395.21219220379,41,5,1,102451.90234613206,44100.853354405604,384.9739169111837,0,1,east,1
39900.65693235792,41,1,1,73819.01849838202,5271.254854398407,746.0092085909153,0,1,south,0
41400.40010347932,53,4,1,79226.22398276217,19391.532227835523,574.522399614519,0,1,south,0
5000.0,52,3,1,5827.53617061941,47620.37929583449,300.0,0,1,south,0
91025.51420872757,62,4,0,194060.22288202148,19533.82742610918,820.7895779409512,0,1,south,0
47165.93807956888,67,1,0,33287.82164682608,33134.38399124607,450.18173914313536,0,1,west,0
73051.66609863724,26,4,1,147087.8757537121,11259.838816202724,743.5211866456957,0,0,east,0
68391.35351790789,59,5,1,146537.54982578696,26650.670352182715,603.8911543910451,0,1,north,0
57143.46758749387,49,1,1,68517.13507624865,17484.07820033234,606.400219016629,0,1,south,0
31321.624566673574,26,1,1,23874.288480562183,32548.071276076633,407.82485535522267,1,0,south,1
46797.160964464805,43,4,1,76218.20163355723,13315.390219194314,663.312865637581,0,0,west,0
70477.87879841412,52,3,1,156129.8968296788,46507.20595661916,391.7355030854579,0,1,west,0
74226.03025742984,51,5,1,120071.95082232165,15767.792125504682,734.6761310243411,0,0,south,0
62487.17265237831,54,2,0,108228.59256357008,7652.276537135943,828.4145601275128,0,1,west,0
50185.418648018436,45,1,0,73077.15509734463,46414.70329258533,354.81646674925776,0,1,west,0
51265.32564577054,57,1,1,65183.193308589056,16188.069538011008,637.6322176136904,0,1,east,0
37849.10413887371,52,2,1,78117.50903213392,17318.590224824264,647.281634995899,1,0,west,0
66351.33624533283,49,4,1,62160.40556202558,41305.75819306638,441.87811745432793,0,0,west,0
61606.893175710946,40,3,1,120611.83389983697,31889.069778151952,580.0964954235873,0,1,south,0
81244.28937845564,60,5,1,60958.10964244316,47245.497223535014,422.031627900384,0,1,west,0
45646.14287324416,33,4,0,25714.200502632986,11827.847752529546,651.4499836416534,1,1,east,0
53056.96927159761,42,5,0,85378.77268299872,29867.812761160218,474.7360593912113,0,1,north,0
55228.69963592788,23,3,1,74322.18204778823,30262.712499601752,429.77730018204,0,1,east,1
57552.47408477358,47,5,1,57053.34002814972,24152.36187315306,553.6450031627417,1,0,west,0
68256.37523375382,26,5,1,101774.19362012282,42257.05734853277,433.16657003894494,0,0,north,1
71421.21436608097,68,1,1,36009.41942872037,47861.99905052586,461.36628268803037,0,1,west,0
20106.29355522326,49,1,1,22373.03177471571,20348.175478359866,478.729874086307,0,0,west,0
57565.17009485816,32,2,1,114477.36621159245,33107.64107711746,403.14772580428416,0,0,south,0
41175.337227285214,40,3,1,80983.27433598076,49757.467409044664,300.0,0,0,north,1
68537.29188097056,54,5,1,111534.21235894162,15601.569609570017,724.7282531205576,0,0,west,0
79487.72406688987,23,5,1,50869.31195228922,28367.61625142719,497.73403130033876,0,1,west,1
64496.78476377633,61,4,1,112064.6828381851,27559.59198354121,497.11943243295093,0,0,south,1
88874.56563040885,57,5,1,135868.03518064698,11596.440543234328,737.0105792384941,1,1,west,0
83492.0047591468,59,3,1,134323.96303396666,48905.20698588867,410.1362412867194,0,1,south,0
60567.048241175355,26,3,1,130131.89925585996,11899.61232860871,720.6967726610008,0,1,west,0
39650.505654741035,66,4,0,94969.45065226499,42852.37395961112,350.0666937332703,0,1,south,1
93557.72654133155,45,5,1,119229.06947061581,30013.681305997663,601.3891953777563,0,0,east,0
58962.43400584888,32,3,0,36991.95318177181,26831.722452037102,511.4611504433056,0,1,west,0
89804.00570403927,37,3,1,124922.52855126499,38410.73431367728,434.7935498789226,0,1,south,0
93124.43820344639,29,1,1,211263.70479784656,47614.109255965726,463.4074141386315,0,0,north,0
30360.830877942906,37,1,1,20590.470666423156,47840.48262361372,364.53361033584065,0,0,north,0
57895.443193030536,23,3,1,106840.07880287775,34463.86900042623,383.19988490386095,0,0,north,0
66119.95570110083,66,2,1,153648.24310686302,19237.35298080415,645.5420117055038,0,1,east,0
116088.0902676693,56,2,0,91321.95305224891,20027.395099211753,766.7820066512385,1,0,east,0
49014.92822543874,41,3,1,62118.848638346135,7733.283032680181,691.2577636490389,0,1,west,0
